date,title,summary,topic,media,link
2022-08-13 00:00:00,COVID-19: Salud reporta ocho nuevas muertes y 366 personas hospitalizadas,"Del total de hospitalizados, 45 son pacientes pediátricos y uno de ellos está en intensivo",Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/covid-19-salud-reporta-ocho-nuevas-muertes-y-366-personas-hospitalizadas/
2022-08-13 00:00:00,Delicado de salud el excampeón olímpico cubano Alberto Juantorena,El exatleta fue hospitalizado con un cuadro de bronconeumonía y descompensación cardiovascular,Otros deportes,El Nuevo Dia,https://www.elnuevodia.com/deportes/otros-deportes/notas/delicado-de-salud-el-excampeon-olimpico-cubano-alberto-juantorena/
2022-08-13 00:00:00,Restringen acceso a un tramo de playa Flamenco en Culebra para detonar un “proyectil explosivo”,"El artefacto fue hallado cerca del área del tanque militar. Autoridades estatales y federales se encuentran en el lugar atendiendo la emergencia, aunque aseguran que está “controlada”.",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/restringen-acceso-a-la-playa-flamenco-en-culebra-para-detonar-un-proyectil-explosivo/
2022-08-13 00:00:00,U.S House passes budget reconciliation bill,The legislation - which now heads to President Biden´s desk for his signature - injects $369 billion in climate change measures and allows Medicare to directly negotiate prices with drug companies.,News,El Nuevo Dia,https://www.elnuevodia.com/english/news/story/us-house-passes-budget-reconciliation-bill/
2022-08-13 00:00:00,¡Y la ganadora es Miss Guaynabo!,"La historia está llena de ejemplos reales de que no hay que ser el ganador de un premio para prevalecer en lo importante, que es trascender. Ariana trasciende, escribe Byankah Sobá",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/y-la-ganadora-es-miss-guaynabo/
2022-08-13 00:00:00,Muere un conductor de 25 años tras chocar con un poste en Río Piedras,"El accidente se reportó en la madrugada, en la avenida Barbosa",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/muere-un-conductor-de-25-anos-tras-chocar-con-un-poste-en-rio-piedras/
2022-08-13 00:00:00,¡Qué difícil y costoso es ser mujer!,"Se imponen códigos estrictos a las mujeres y les exigen que deben preocuparse por su apariencia. Ser mujer es muy caro, escribe Martha Quiñones Domínguez   ",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/que-dificil-y-costoso-es-ser-mujer/
2022-08-13 00:00:00,“Es una emoción que no podría describir”: De fiesta Corozal con el título de las Pinkin,El sexteto corozaleño barrió en cuatro juegos a Caguas en la final para alcanzar su título número 18 en la historia de la franquicia,Voleibol,El Nuevo Dia,https://www.elnuevodia.com/deportes/voleibol/notas/es-una-emocion-que-no-podria-describir-de-fiesta-corozal-con-el-titulo-de-las-pinkin/
2022-08-13 00:00:00,Más comedia que acción en “Day Shift”,Jamie Fox interpreta a un cazavampiros,Películas y series,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/peliculas-series/notas/mas-comedia-que-accion-en-day-shift/
2022-08-13 00:00:00,“Igor” González y los Toritos de Cayey se colocan a las puertas de la final del Béisbol Doble A,"La novena, que dirige el exjugador de las Mayores, domina la serie semifinal 3-0 ante Hormigueros, mientras Salinas viene de tomar la delantera 2-1 sobre Guaynabo",Béisbol,El Nuevo Dia,https://www.elnuevodia.com/deportes/beisbol/notas/igor-gonzalez-y-los-toritos-de-cayey-se-colocan-a-las-puertas-de-la-final-del-beisbol-doble-a/
2022-08-13 00:00:00,"Entre los jardines y la receptoría, el boricua MJ Meléndez se deja sentir con los Royals","Entre los novatos de ambas ligas, el joven pelotero de Kansas City figura entre los líderes de jonrones y carreras remolcadas",Béisbol,El Nuevo Dia,https://www.elnuevodia.com/deportes/beisbol/notas/entre-los-jardines-y-la-receptoria-el-boricua-mj-melendez-se-deja-sentir-con-los-royals/
2022-08-13 00:00:00,Aumenta a 50 el total de casos confirmados de viruela del mono en Puerto Rico ,"El Departamento de Salud informó hoy, sábado, de cinco contagios nuevos registrados por la agencia",Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/aumenta-a-50-el-total-de-casos-confirmados-de-viruela-del-mono-en-puerto-rico/
2022-08-13 00:00:00,El escritor Salman Rushdie sigue hospitalizado tras ataque,"El autor de 75 años sufrió heridas en el hígado, en los nervios de un brazo y en un ojo, dijo su agente",Estados Unidos,El Nuevo Dia,https://www.elnuevodia.com/noticias/estados-unidos/notas/el-escritor-salman-rushdie-sigue-hospitalizado-tras-ataque/
2022-08-13 00:00:00,Asesinan a tiros a dos hombres en hechos separados en Comerío y San Juan,"Con estas dos muertes violentas, aumentó a 367 el total de asesinatos reportados en lo que va de año",Seguridad,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/asesinan-a-tiros-a-dos-hombres-en-hechos-separados-en-comerio-y-san-juan/
2022-08-14 00:00:00,LUMA Energy y la AEE exhortan a la ciudadanía a reducir el consumo de energía eléctrica para esta noche,Las averías de dos unidades en las plantas AES y Aguirre provocaron una reducción en la capacidad de generación de la Autoridad de Energía Eléctrica en lo que se completan las reparaciones,Locales,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/luma-energy-y-la-aee-exhortan-a-la-ciudadania-a-reducir-el-consumo-de-energia-electrica-para-esta-noche/
2022-08-13 00:00:00,Voces del ciclismo hacen llamado a compartir la carretera tras la muerte de dos de los suyos en Manatí,"Amigos de Raúl Velázquez y Keisy Toro expresan a El Nuevo Día su dolor y hablan del reto que supone practicar esta actividad en la isla, al tiempo que expertos señalan posibles soluciones a fallas en la seguridad vial",Para suscriptores,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/voces-del-ciclismo-hacen-llamado-a-compartir-la-carretera-tras-la-muerte-de-dos-de-los-suyos-en-manati/
2022-08-13 00:00:00,Variedad sonora en la primera noche del Coca Cola Music Fest   ,"Hoy se esperan las presentaciones de artistas como Cosculluela, Miky Woodz y Young Miko.",Música,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/musica/notas/variedad-sonora-en-la-primera-noche-del-coca-cola-music-fest/
