Frases,Frecuencias,Periodico,Semana
covid 19,6,El Nuevo Dia,32.0
salud reporta,5,El Nuevo Dia,32.0
nuevas muertes,3,El Nuevo Dia,32.0
río piedras,3,El Nuevo Dia,32.0
viruela mono,3,El Nuevo Dia,32.0
salman rushdie,3,El Nuevo Dia,32.0
coca cola,3,El Nuevo Dia,32.0
cola music,3,El Nuevo Dia,32.0
wanda vázquez,3,El Nuevo Dia,32.0
19 salud,2,El Nuevo Dia,32.0
covid 19,5,Noticel,32.0
cantante bernie,2,Noticel,32.0
bernie pérez,2,Noticel,32.0
superior femenino,2,Noticel,32.0
registro casa,2,Noticel,32.0
final sóftbol,2,Noticel,32.0
sóftbol femenino,2,Noticel,32.0
emmanuel rivera,2,Noticel,32.0
cuerpo hombre,2,Noticel,32.0
miss universe,2,Noticel,32.0
salman rushdie,6,Primera Hora,32.0
covid 19,4,Primera Hora,32.0
miss universe,4,Primera Hora,32.0
hospital universitario,3,Primera Hora,32.0
final bsn,3,Primera Hora,32.0
san juan,3,Primera Hora,32.0
fin semana,2,Primera Hora,32.0
derek manuel,2,Primera Hora,32.0
olivia newton,2,Primera Hora,32.0
newton john,2,Primera Hora,32.0
covid 19,12,El Vocero,32.0
wanda vázquez,7,El Vocero,32.0
miss universe,6,El Vocero,32.0
pinkin corozal,5,El Vocero,32.0
policía investiga,5,El Vocero,32.0
serie final,5,El Vocero,32.0
departamento salud,4,El Vocero,32.0
hombre acusado,4,El Vocero,32.0
hato rey,4,El Vocero,32.0
actos lascivos,4,El Vocero,32.0
pedro pierluisi,12,El Nuevo Dia,33.0
covid 19,11,El Nuevo Dia,33.0
san juan,6,El Nuevo Dia,33.0
luma energy,6,El Nuevo Dia,33.0
jenniffer gonzález,5,El Nuevo Dia,33.0
escuelas públicas,4,El Nuevo Dia,33.0
final bsn,3,El Nuevo Dia,33.0
salud mental,3,El Nuevo Dia,33.0
miguel romero,3,El Nuevo Dia,33.0
salud reporta,3,El Nuevo Dia,33.0
san germán,9,Noticel,33.0
covid 19,7,Noticel,33.0
luma energy,6,Noticel,33.0
convención pnp,6,Noticel,33.0
onda tropical,5,Noticel,33.0
san juan,4,Noticel,33.0
contrato luma,4,Noticel,33.0
béisbol femenino,3,Noticel,33.0
final bsn,3,Noticel,33.0
hoy día,3,Noticel,33.0
covid 19,11,Primera Hora,33.0
final bsn,7,Primera Hora,33.0
cuarto juego,5,Primera Hora,33.0
yadier molina,5,Primera Hora,33.0
serie final,4,Primera Hora,33.0
viruela mono,4,Primera Hora,33.0
ezra miller,3,Primera Hora,33.0
desaparición tres,3,Primera Hora,33.0
tres menores,3,Primera Hora,33.0
menores madre,3,Primera Hora,33.0
san juan,11,El Vocero,33.0
covid 19,8,El Vocero,33.0
san germán,8,El Vocero,33.0
luma energy,7,El Vocero,33.0
raymond arrieta,7,El Vocero,33.0
da vida,7,El Vocero,33.0
atléticos san,6,El Vocero,33.0
reportado desaparecido,5,El Vocero,33.0
energía eléctrica,5,El Vocero,33.0
nuevos casos,5,El Vocero,33.0
pedro pierluisi,2,El Nuevo Dia,31.0
wanda vázquez,2,El Nuevo Dia,31.0
representantes piden,1,El Nuevo Dia,31.0
piden acción,1,El Nuevo Dia,31.0
acción pedro,1,El Nuevo Dia,31.0
pierluisi visita,1,El Nuevo Dia,31.0
visita sorpresa,1,El Nuevo Dia,31.0
sorpresa centro,1,El Nuevo Dia,31.0
centro médico,1,El Nuevo Dia,31.0
john blakeman,1,El Nuevo Dia,31.0
