date,title,summary,topic,media,link
2022-08-12,Radican cargos contra agente de la Policía que falsificó pruebas de covid-19,"El Departamento de Justicia informó hoy, viernes, la radicación de 12 cargos contra un agente de la Policía de Puerto Rico por falsificar y traspasar pruebas d...",Ahora,Noticel,https://www.noticel.com/ahora/top-stories/20220812/radican-cargos-contra-agente-de-la-policia-que-falsifico-pruebas-de-covid-19/
2022-08-12,LUMA confirma evento de relevo de carga,"LUMA Energy, encargada del sistema de transmisión y distribución eléctrica en Puerto Rico, informó que hay activo un evento de relevo de carga hoy, viernes, qu...",Ahora,Noticel,https://www.noticel.com/ahora/20220812/luma-confirma-evento-de-relevo-de-carga/
2022-08-12,La salsa también pierde al cantante Bernie Pérez,"El cantante y músico Bernie Pérez, recordado por su etapa como cantante de la orquesta de Willie Rosario, falleció hoy por complicaciones cardíacas y renales, ...",Música,Noticel,https://www.noticel.com/musica/pop/20220812/la-salsa-tambien-pierde-al-cantante-bernie-perez/
2022-08-12,Mr. Cash sale de TeleOnce,"Josué Carrión, conocido en el mundo del entretenimiento como Mr. Cash, anunció su salida de TeleOnce y del programa ""La Bóveda de Mr. Cash"" que transmitía ese ...",La Calle,Noticel,https://www.noticel.com/la-calle/20220812/mr-cash-sale-de-teleonce/
2022-08-12,Las Pinkin de Corozal buscan el campeonato del Voleibol Superior Femenino,"La acción del deporte este fin de semana presenta las finales del Voleibol Superior Femenino y del Baloncesto Superior Nacional, las series semifinales del béi...",Deportes,Noticel,https://www.noticel.com/deportes/20220812/las-pinkin-de-corozal-buscan-el-campeonato-del-voleibol-superior-femenino/
2022-08-12,"Trump pide la publicación ""inmediata"" de la orden de registro a su casa","El expresidente de Estados Unidos Donald Trump (2017 - 2021) aceptó este viernes la petición hecha por el fiscal general, Merrick Garland y, en un nuevo giro d...",Estados Unidos,Noticel,https://www.noticel.com/estados-unidos/politica/ahora/20220812/trump-pide-la-publicacion-inmediata-de-la-orden-de-registro-a-su-casa/
2022-08-12,Listas las Valencianas para la final del sóftbol femenino,“Estamos listas”. Esas fueron las primeras palabras de la estelar Zomarie Lozano en referencia a su equipo Valencianas de Juncos para la gran serie final del S...,Deportes,Noticel,https://www.noticel.com/deportes/20220812/listas-las-valencianas-para-la-final-del-softbol-femenino/
2022-08-12,Investigan robo de miles de dólares en el hotel La Concha,"El Negociado de la Policía de Puerto Rico informó de una querella de robo recibida desde el Hotel La Concha en Condado. 
Según indica el informe preliminar de ...",Policíacas,Noticel,https://www.noticel.com/policiacas/la-calle/20220812/investigan-robo-de-miles-de-dolares-en-el-hotel-la-concha/
2022-08-12,Nicky Jam se une a D.OZi en un remix ,"Con un nuevo tema, los reggaetoneros Nicky Jam y D.OZi,  exponen los retos de su vida y hablan de lo que experimentaron creciendo en las calles de Puerto Rico....",Música,Noticel,https://www.noticel.com/musica/pop/20220812/nicky-jam-se-une-a-d-ozi-en-un-remix/
2022-08-12,Detectan contagios de nuevo virus en China: esto es lo que se sabe,Hace unos días un equipo científico publicó la detección de 35 contagios en humanos de un nuevo virus de origen animal en dos provincias chinas y repartidos en...,Mundo,Noticel,https://www.noticel.com/mundo/20220812/detectan-contagios-de-nuevo-virus-en-china-esto-es-lo-que-se-sabe/
