date,title,summary,topic,media,link
2022-08-23,Roba un carro y lo empotra en las escaleras de una estación subterránea de Madrid ,"El sospechoso fue atendido por los servicios sanitarios y trasladado a un hospital, aunque resultó ileso.",Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/roba-un-carro-y-lo-empotra-en-las-escaleras-de-una-estacion-subterranea-de-madrid/
2022-08-23,Cientos de escuelas cerradas debido a una tormenta tropical en Filipinas ,Está previsto que la tormenta tropical Ma On salga de Filipinas el jueves y se dirija hacia el sureste de China.,Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/cientos-de-escuelas-cerradas-debido-a-una-tormenta-tropical-en-filipinas/
2022-08-23,"Se derrumba la cara norte de los silos de Beirut, un símbolo de la explosión ",Las ruinas de los graneros han estado permanentemente en llamas desde hace cerca de cinco semanas por la fermentación del trigo almacenado en su interior antes de la tragedia.,Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/se-derrumba-la-cara-norte-de-los-silos-de-beirut-un-simbolo-de-la-explosion/
2022-08-23,Ocupan dos armas de fuego tras persecución por violación de tránsito,Sus ocupantes huyeron al llegar a Santurce. ,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/ocupan-dos-armas-de-fuego-tras-persecucion-por-violacion-de-transito/
2022-08-23,Suben como la espuma los “carjackings” en la zona metropolitana ,"En las últimas horas se reportaron estos asaltos a mano armada en Cupey, Hato Rey y Santurce. ",Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/suben-como-la-espuma-los-carjackings-en-la-zona-metropolitana/
2022-08-23,Centro Nacional de Huracanes vigila ahora dos ondas tropicales con probabilidad ciclónica,Históricamente la temporada de huracanes en el Atlántico se torna activa en los meses de agosto y septiembre.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/centro-nacional-de-huracanes-vigila-ahora-dos-ondas-tropicales-con-probabilidad-ciclonica/
2022-08-23,¿A cuánto debe estar el precio de la gasolina?,DACO dio a conocer los números. ,Consumo,Primera Hora,http://www.primerahora.com/noticias/consumo/notas/a-cuanto-debe-estar-el-precio-de-la-gasolina/
2022-08-23,"Más calor, lluvias y tronadas para hoy",Una vaguada es la responsable de generar fuertes aguaceros en las tardes.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/mas-calor-lluvias-y-tronadas-para-hoy/
2022-08-23,Christian Nodal sorprende al aparecer sin sus tatuajes en la cara,La gente ha quedado bien confundida. ,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/christian-nodal-sorprende-al-aparecer-sin-sus-tatuajes-en-la-cara/
2022-08-23,Asesinan a dos hombres con minutos de diferencia en Cayey,Uno de ellos fue identificado por la Policía. ,Policía y Tribunales,Primera Hora,http://www.primerahora.com/noticias/policia-tribunales/notas/asesinan-a-dos-hombres-con-minutos-de-diferencia-en-cayey/
2022-08-23,El billetal que cobra Bad Bunny por cada concierto,Mira a cuánto asciende la fortuna del artista de 28 años. ,Farándula,Primera Hora,http://www.primerahora.com/entretenimiento/farandula/notas/el-billetal-que-cobra-bad-bunny-por-cada-concierto/
2022-08-23,Centro Nacional de Huracanes sigue mirando la onda tropical con probabilidad ciclónica en el Atlántico,Se espera que se mueva al oeste-noroeste en los próximos días. ,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/centro-nacional-de-huracanes-sigue-mirando-la-onda-tropical-con-probabilidad-ciclonica-en-el-atlantico/
2022-08-23,Puerto Rico amanece con 8 nuevas muertes por COVID-19,La tasa de positividad se ubicó preliminarmente en 27.47 por ciento.,Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/puerto-rico-amanece-con-8-nuevas-muertes-por-covid-19/
2022-08-23,Aseguran que es posible romper el acuerdo con LUMA Energy,El abogado Rolando Emmanuelli Jiménez indica que el Gobierno pudiera dar por terminado el polémico contrato tan pronto como el 30 de noviembre.,Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/aseguran-que-es-posible-romper-el-acuerdo-con-luma-energy/
2022-08-23,Bosque de Cambalache: santuario natural en Arecibo,Este lugar es albergue de especies protegidas y distintos tipos de árboles.,Pa' aprender,Primera Hora,http://www.primerahora.com/estilos-de-vida/ph-mas-pa-aprender/notas/bosque-de-cambalache-santuario-natural-en-arecibo/
2022-08-23,¿Qué podría traer el BSN en el 2023? Aquí te contamos,Es tierra fértil para más inversión económica.,Baloncesto,Primera Hora,http://www.primerahora.com/deportes/baloncesto/notas/que-podria-traer-el-bsn-en-el-2023-aqui-te-contamos/
2022-08-23,Junta fiscal asegura que alza en peajes será el salvavidas de la ACT,"Además consideró que redundaría en beneficios para todos porque permitirá mejorar y desarrollar las carreteras, con los que se evitarán accidentes y tapones.",Puerto Rico,Primera Hora,http://www.primerahora.com/noticias/puerto-rico/notas/junta-fiscal-asegura-que-alza-en-peajes-sera-el-salvavidas-de-la-act/
2022-08-23,Luma: Cuando el remedio es peor que la enfermedad,"“Desde el 2017, Puerto Rico se está levantando”",Norwill Fragoso,Primera Hora,http://www.primerahora.com/opinion/norwill-fragoso/columnas/luma-cuando-el-remedio-es-peor-que-la-enfermedad/
2022-08-23,Fútbol de Ucrania se reanuda en desafío a la guerra de Rusia,"La liga de 16 equipos reanuda su competición sin los equipos Desna Chernihiv ni Mariupul, ambos de ciudades que han sufrido una terrible destrucción.",Fútbol,Primera Hora,http://www.primerahora.com/deportes/futbol/notas/futbol-de-ucrania-se-reanuda-en-desafio-a-la-guerra-de-rusia/
2022-08-23,Congo confirma nuevo caso de ébola ligado a brote anterior,En el Congo se han registrado 14 brotes de ébola desde que se descubrió el virus en el país en 1976. ,Mundo,Primera Hora,http://www.primerahora.com/noticias/mundo/notas/congo-confirma-nuevo-caso-de-ebola-ligado-a-brote-anterior/
2022-08-23,Vistas para evaluar los contratos bajo la jurisdicción de la Autoridad para las APP arrancan este miércoles,La discusión iniciará con la comparecencia del Negociado de Energía y la Autoridad de Energía Eléctrica.,Gobierno y política,Primera Hora,http://www.primerahora.com/noticias/gobierno-politica/notas/vistas-para-evaluar-los-contratos-bajo-la-jurisdiccion-de-la-autoridad-para-las-app-arrancan-este-miercoles/
2022-08-23,"Ratings del sábado, 20 de agosto de 2022: Serie Final del BSN","De 6:00 p.m. a 8:15 p.m., el juego promedió 12.8 por Telemundo.",Glenn Santana,Primera Hora,http://www.primerahora.com/opinion/glenn-santana/columnas/ratings-del-sabado-20-de-agosto-de-2022-serie-final-del-bsn/
